position,authors,genres,lavin_genres,ids,big_genres,titles,dates,cosine_similarities
88,Maturin%2C+Charles+Robert%2C,teamred | pbgothic | stew | lavin_magic | lavin_deranged,lavin_multi,89,gothic,Melmoth+the+wanderer,1821,0.18061941
56,Frances%2C+Sophia+L.,teamblack | stangothic | stew,no_lavin_tag,57,gothic,Vivonio%2C+or%2C+The+hour+of+retribution,1806,0.180583199
97,Anonymous2,teamred | locghost | stew | lavin_ghost,lavin_ghost,98,gothic,Legends+of+terror%21,1826,0.179684276
778,Burroughs%2C+William+S.,chirandom | teamblack,no_lavin_tag,779,non_genre,The+ticket+that+exploded,1962,0.179063679
58,Roche%2C+Regina+Maria%2C,teamred | stangothic,no_lavin_tag,59,gothic,The+discarded+son%3B+or%2C+Haunt+of+the+banditti,1807,0.178455386
51,Lee%2C+Harriet%2C,teamred | random,no_lavin_tag,52,non_genre,Canterbury+tales,1803,0.178231136
383,Hawthorne%2C+Julian%2C,det100 | teamblack | stew,no_lavin_tag,384,crime,The+lock+and+key+library%3A,1909,0.178192019
12,Beckford%2C+William%2C,teamblack | pbgothic | stew | lavin_magic,lavin_magic,13,gothic,Vathek,1786,0.177894587
96,Shelley%2C+Mary+Wollstonecr,teamblack | femscifi | stew,no_lavin_tag,97,scifi,The+last+man,1826,0.177866751
690,Smith%2C+E.+E.,teamred | chiscifi,no_lavin_tag,691,scifi,Skylark+three,1948,0.17763592
543,Cox%2C+Erle%2C,teamblack | chiscifi,no_lavin_tag,544,scifi,Out+of+the+silence,1928,0.177518971
52,Cuthbertson%2C+Catherine.,teamblack | stangothic | stew,no_lavin_tag,53,gothic,Romance+of+the+Pyrenees,1803,0.177500281
115,Irving%2C+Washington%2C,teamblack | pbgothic | lavin_magic,lavin_magic,116,gothic,Tales+of+the+Alhambra,1832,0.177110629
64,Frances%2C+Sophia+L.,teamred | stangothic,no_lavin_tag,65,gothic,Angelo+Guicciardini%2C+or%2C+The+bandit+of+the+Alps,1809,0.177039772
107,Vidocq%2C+Eugne+Franois%2C,teamred | det100,no_lavin_tag,108,crime,Memoirs+of+Vidocq,1829,0.175996794
98,Shelley%2C+Mary+Wollstonecr,teamred | femscifi,no_lavin_tag,99,scifi,The+last+man,1826,0.175705709
156,St.+Clair%2C+Henry.,teamred | locghost | stew | lavin_ghost,lavin_ghost,157,gothic,Tales+of+terror%3B+or%2C+The+,1848,0.175556423
179,Lawrence%2C+George+A.,teamred | random,no_lavin_tag,180,non_genre,Sword+and+gown,1860,0.175394791
87,Maturin%2C+Charles+Robert%2C,teamblack | pbgothic | stew | lavin_magic | lavin_deranged,lavin_multi,88,gothic,Melmoth+the+wanderer,1820,0.175329513
80,Porter%2C+Anna+Maria%2C,teamblack | stangothic,no_lavin_tag,81,gothic,The+fast+of+St.+Magdalen,1818,0.174901087
20,Combe%2C+William%2C,teamblack | random,no_lavin_tag,21,non_genre,The+devil+upon+two+sticks,1791,0.174870167
840,White%2C+Patrick%2C,chirandom | teamred,no_lavin_tag,841,non_genre,The+vivisector,1970,0.174195651
218,Le+Fanu%2C+Joseph+Sheridan%2C,teamblack | pbgothic | stew | lavin_ghost | lavin_magic | lavin_deranged,lavin_multi,219,gothic,In+a+glass+darkly,1872,0.174067575
134,Ainsworth%2C+William+Harris,teamred | pbgothic | stew,no_lavin_tag,135,gothic,The+Tower+of+London,1840,0.174036895
306,Theuriet%2C+Andr%2C,teamred | random,no_lavin_tag,307,non_genre,A+young+man+of+the+period,1892,0.173563269
95,Wilkins%2C+George%2C,teamblack | random,no_lavin_tag,96,non_genre,The+convert,1826,0.173519875
61,Grant%2C+Anne+MacVicar%2C,teamblack | random,no_lavin_tag,62,non_genre,Letters+from+the+mountain,1807,0.172962834
490,Rhys%2C+Ernest%2C,teamred | locghost | lavin_ghost,lavin_ghost,491,gothic,The+haunters+%26+the+haunte,1921,0.172926446
791,Burroughs%2C+William+S.,teamblack | chiscifi,no_lavin_tag,792,scifi,Nova+Express,1964,0.172823138
285,Bellamy%2C+Edward%2C,teamred | anatscifi | locscifi | stew,no_lavin_tag,286,scifi,Looking+backward%2C+2000-18,1888,0.172236911
104,Loudon%2C+Jane,teamred | femscifi | stew,no_lavin_tag,105,scifi,The+mummy%21,1827,0.172063531
405,Burroughs%2C+Edgar+Rice%2C,teamred | anatscifi,no_lavin_tag,406,scifi,A+princess+of+Mars,1912,0.171877324
544,Burroughs%2C+Edgar+Rice%2C,teamblack | chiscifi,no_lavin_tag,545,scifi,The+master+mind+of+Mars,1928,0.171656036
438,Seaman%2C+Augusta+Huiell%2C,teamblack | locdetmyst | juvenile | drop,no_lavin_tag,439,crime,The+boarded-up+house,1915,0.171580453
16,White%2C+James%2C,teamblack | random,no_lavin_tag,17,non_genre,The+adventures+of+John+of,1790,0.171460493
137,Poe%2C+Edgar+Allan%2C,det100 | teamblack,no_lavin_tag,138,crime,The+Murder+in+the+Rue+Morgue+%28short+story%29,1841,0.171212973
433,Vance%2C+Louis+Joseph%2C,det100 | teamblack,no_lavin_tag,434,crime,The+lone+wolf,1914,0.171112254
753,Hoyle%2C+Fred%2C,teamblack | chiscifi,no_lavin_tag,754,scifi,The+black+cloud,1957,0.171105412
70,Roche%2C+Regina+Maria%2C,teamred | stangothic,no_lavin_tag,71,gothic,The+monastery+of+St.+Columb%3B,1813,0.171064667
384,Serviss%2C+Garrett+Putman%2C,teamblack | anatscifi | locscifi,no_lavin_tag,385,scifi,A+Columbus+of+space,1909,0.170843168
239,Collins%2C+Wilkie%2C,teamred | pbgothic | stew | lavin_ghost,lavin_ghost,240,gothic,The+haunted+hotel,1878,0.170543958
269,Anonymous3,teamblack | locghost | lavin_ghost,lavin_ghost,270,gothic,Dreamland+and+ghostland,1887,0.170531518
666,Taine%2C+John%2C,teamred | chiscifi | stew,no_lavin_tag,667,scifi,The+time+stream,1946,0.170496322
10,Lee%2C+Sophia%2C,teamblack | pbgothic | stew | lavin_deranged,lavin_deranged,11,gothic,The+recess%3B,1785,0.170348777
163,Myers%2C+P.+Hamilton,teamblack | random,no_lavin_tag,164,non_genre,The+King+of+the+Hurons,1850,0.169910827
372,Freeman%2C+R.+Austin%2C,det100 | teamblack,no_lavin_tag,373,crime,The+Red+Thumb+Mark,1907,0.169843922
44,Melville%2C+Theodore.,teamblack | stangothic,no_lavin_tag,45,gothic,The+white+knight%2C+or%2C+The+monastery+of+Morne,1802,0.169305519
565,Stapledon%2C+Olaf%2C,teamred | chiscifi | stew,no_lavin_tag,566,scifi,Last+and+first+men,1930,0.168935166
160,Reynolds%2C+George+W.+M.,teamblack | pbgothic,no_lavin_tag,161,gothic,The+mysteries+of+the+cour,1850,0.168580219
361,Harper%2C+Vincent.,teamblack | anatscifi | stew,no_lavin_tag,362,scifi,The+mortgage+on+the+brain,1905,0.168524436
1,Rousseau%2C+Jean-Jacques%2C,teamred | random,no_lavin_tag,2,non_genre,Eloisa%3A+or+A+series+of+or,1761,0.168515512
9,Genlis%2C+Stphanie+Flicit,teamred | random,no_lavin_tag,10,non_genre,Tales+of+the+castle%3B,1785,0.168064275
38,Karamzin%2C+Nikola+Mikhalovich%2C,teamred | random,no_lavin_tag,39,non_genre,Russian+tales,1800,0.168029131
827,Nabokov%2C+Vladimir+Vladimi,chirandom | teamblack,no_lavin_tag,828,non_genre,Ada,1969,0.167998806
127,Hawthorne%2C+Nathaniel%2C,teamblack | pbgothic | lavin_ghost,lavin_ghost,128,gothic,Twice-told+tales,1837,0.167951602
547,Wright%2C+S.+Fowler%2C,teamred | chifantasy | chiscifi,no_lavin_tag,548,scifi,The+island+of+Captain+Spa,1928,0.167867352
184,Felix%2C+Charles%2C+pseud.,teamred | blcrime,no_lavin_tag,185,non_genre,Notting+Hill+Mystery,1863,0.167540077
694,Orwell%2C+George%2C,teamblack | chiscifi,no_lavin_tag,695,scifi,Nineteen+eighty-four,1949,0.167464624
289,AnonymousGhost,teamblack | locghost | stew | lavin_ghost,lavin_ghost,290,gothic,Weird+tid-bits,1888,0.167457345
844,Hjortsberg%2C+William%2C,teamred | chiscifi,no_lavin_tag,845,scifi,Gray+matters,1971,0.167415778
325,Hardy%2C+Thomas%2C,teamblack | random,no_lavin_tag,326,non_genre,The+well-beloved%3B,1897,0.167374809
311,Bierce%2C+Ambrose%2C,teamblack | pbgothic | lavin_ghost,lavin_ghost,312,gothic,Can+such+things+be%3F,1893,0.167337168
250,Cowan%2C+Frank%2C,teamblack | locscifi,no_lavin_tag,251,scifi,Revi-Lona,1880,0.167281774
26,Radcliffe%2C+Ann+Ward%2C,teamblack | pbgothic | stew,no_lavin_tag,27,gothic,The+mysteries+of+Udolpho,1794,0.167070093
24,Moser%2C+Joseph%2C,teamred | random,no_lavin_tag,25,non_genre,Turkish+tales,1794,0.166873769
167,Bront%2C+Charlotte%2C,teamblack | pbgothic,no_lavin_tag,168,gothic,Villette,1853,0.166833867
524,Freeman%2C+R.+Austin%2C,teamblack | chimyst,no_lavin_tag,525,crime,The+red+thumb+mark,1924,0.166517213
647,Stapledon%2C+Olaf%2C,teamred | chiscifi,no_lavin_tag,648,scifi,Darkness+and+the+light,1942,0.166313318
120,Lytton%2C+Edward+Bulwer+Lyt,teamblack | pbgothic,no_lavin_tag,121,gothic,Godolphin,1833,0.166064763
476,Lindsay%2C+Vachel%2C,chiutopia | teamblack,no_lavin_tag,477,scifi,The+golden+book+of+Spring,1920,0.165759849
531,Fraser%2C+Ronald%2C,teamred | chifantasy,no_lavin_tag,532,non_genre,Flower+phantoms,1926,0.165454779
699,Wright%2C+S.+Fowler%2C,teamred | chiscifi,no_lavin_tag,700,scifi,The+Amphibians,1949,0.165199974
454,French%2C+Joseph+Lewis%2C,teamblack | locghost | stew | lavin_ghost,lavin_ghost,455,gothic,Great+ghost+stories%2C+sele,1918,0.164852049
22,Radcliffe%2C+Ann+Ward%2C,teamblack | pbgothic | stew | lavin_deranged,lavin_deranged,23,gothic,The+romance+of+the+forest,1791,0.164802731
390,Wharton%2C+Edith%2C,teamred | pbgothic | lavin_ghost,lavin_ghost,391,gothic,Tales+of+men+and+ghosts,1910,0.164781108
638,Lewis%2C+C.+S.,chirandom | chifantasy | teamblack,no_lavin_tag,639,non_genre,The+Screwtape+letters,1942,0.164665153
173,MacDonald%2C+George%2C,teamblack | pbgothic | stew | lavin_magic,lavin_magic,174,gothic,Phantastes,1858,0.164444912
37,Hamilton%2C+Elizabeth%2C,teamred | random,no_lavin_tag,38,non_genre,Memoirs+of+modern+philosophers,1800,0.164301747
420,Green%2C+Anna+Katharine%2C,det100 | teamblack,no_lavin_tag,421,crime,Room+number+3%2C+and+other+,1913,0.164250292
310,Griffith%2C+George+Chetwynd,teamblack | anatscifi,no_lavin_tag,311,scifi,The+angel+of+the+revoluti,1893,0.164034584
109,Lytton%2C+Edward+Bulwer+Lyt,teamred | newgate | stew,no_lavin_tag,110,crime,Paul+Clifford,1830,0.16391625
2,Anonymous4,teamblack | random,no_lavin_tag,3,non_genre,The+memoirs+of+Miss+D%27Arv,1764,0.163882422
369,Buckingham%2C+Emma+May.,teamred | locghost | stew | lavin_ghost,lavin_ghost,370,gothic,Modern+ghost+stories,1906,0.163640583
924,Bishop%2C+Michael%2C,teamblack | chiscifi,no_lavin_tag,925,scifi,No+enemy+but+time,1982,0.163548788
30,Lewis%2C+M.+G.,teamblack | pbgothic | lavin_magic,lavin_magic,31,gothic,The+monk,1796,0.163394342
47,Walker%2C+George%2C,teamred | stangothic,no_lavin_tag,48,gothic,Don+Raphael,1803,0.16338431
270,Hudson%2C+W.+H.,teamred | anatscifi,no_lavin_tag,271,scifi,A+crystal+age,1887,0.162946098
7,Leprince+de+Beaumont%2C,teamblack | random,no_lavin_tag,8,non_genre,Letters+of+Madame+Du+Montier,1780,0.162890253
367,Blackwood%2C+Algernon%2C,teamblack | pbgothic | stew | lavin_ghost,lavin_ghost,368,gothic,The+empty+house,1906,0.162773679
66,Cuthbertson%2C+Catherine.,teamblack | stangothic,no_lavin_tag,67,gothic,Forest+of+Montalbano,1810,0.162220728
301,Anonymous9,teamblack | locdetmyst | stew,no_lavin_tag,302,crime,Eleven+possible+cases,1891,0.161999013
432,Seymour%2C+St.+John+D.,teamred | locghost | lavin_ghost,lavin_ghost,433,gothic,True+Irish+ghost+stories,1914,0.161958895
790,Clement%2C+Hal%2C,teamblack | chiscifi,no_lavin_tag,791,scifi,Close+to+critical,1964,0.161770303
884,Foster%2C+Alan+Dean%2C,chirandom | teamred | chiscifi,no_lavin_tag,885,scifi,The+end+of+the+matter,1977,0.161611757
232,Pinkerton%2C+Allan%2C,locdetective | teamblack,no_lavin_tag,233,crime,The+spiritualists+and+the,1876,0.161353081
717,Wylie%2C+Philip%2C,teamred | chiscifi | stew,no_lavin_tag,718,scifi,The+disappearance,1951,0.161194277
92,Gaspey%2C+Thomas%2C,teamblack | stangothic,no_lavin_tag,93,gothic,Other+times%3B+or%2C+the+monks+of+Leadenhall,1823,0.161069525
300,Bierce%2C+Ambrose%2C,teamblack | pbgothic | stew,no_lavin_tag,301,gothic,Tales+of+soldiers+and+civ,1891,0.160765645
319,Corelli%2C+Marie%2C,teamred | pbgothic | lavin_magic,lavin_magic,320,gothic,The+sorrows+of+Satan%3B,1895,0.160115382
282,Green%2C+Anna+Katharine%2C,teamred | det100 | stew,no_lavin_tag,283,crime,Behind+closed+doors,1888,0.160058911
583,Stapledon%2C+Olaf%2C,teamred | chiscifi,no_lavin_tag,584,scifi,Last+men+in+London,1932,0.159783532
296,AnonymousGhost2,teamblack | locghost | stew | lavin_ghost,lavin_ghost,297,gothic,Modern+ghosts,1890,0.159453241
28,Gunning%2C,teamblack | random,no_lavin_tag,29,non_genre,Memoirs+of+Mary,1794,0.159216948
31,Roche%2C+Regina+Maria%2C,teamblack | pbgothic | lavin_ghost,lavin_ghost,32,gothic,The+children+of+the+abbey,1796,0.159203823
152,Cobbold%2C+Richard%2C,teamred | random,no_lavin_tag,153,non_genre,Zenon,1847,0.159171052
374,Murfree%2C+Mary+Noailles%2C,teamred | random,no_lavin_tag,375,non_genre,The+windfall%3B,1907,0.159163446
5,Henrietta.,teamblack | random,no_lavin_tag,6,non_genre,Letters+from+Henrietta+to,1777,0.159107348
294,AnonymousGhost2,teamblack | locghost | lavin_ghost,lavin_ghost,295,gothic,Modern+ghosts%3B,1890,0.158835958
148,Reynolds%2C+George+W.+M.,teamred | pbgothic | stew,no_lavin_tag,149,gothic,The+mysteries+of+London,1846,0.158749363
29,Cumberland%2C+Richard%2C,teamred | random,no_lavin_tag,30,non_genre,Henry,1795,0.158690303
209,Speight%2C+T.+W.,det100 | teamblack | stew,no_lavin_tag,210,crime,Under+lock+and+key%3B+a+sto,1868,0.158670107
13,Berkeley%2C+George+Monck%2C,teamred | random,no_lavin_tag,14,non_genre,Heloise%3A+or+The+siege+of+,1788,0.158659358
102,Lytton%2C+Edward+Bulwer+Lyt,teamblack | pbgothic | stew,no_lavin_tag,103,gothic,Falkland,1827,0.158555815
406,Pidgin%2C+Charles+Felton%2C,det100 | teamblack,no_lavin_tag,407,crime,The+chronicles+of+Quincy+,1912,0.158541537
275,AnonymousGhost,teamred | locghost | lavin_ghost,lavin_ghost,276,gothic,Weird+tid-bits,1888,0.158453012
154,Froude%2C+James+Anthony%2C,teamblack | random,no_lavin_tag,155,non_genre,Shadows+of+the+clouds,1847,0.158350293
