,text,range,Walker ratio,percentile,Epoch mean,Epoch median,standard_deviation,>+1 std of mean value
42,lovecraft_shadow,1835-1869,0.6157512482977757,0.49411764705882355,0.6003627045941917,0.6173058835824015,0.06790678523175313,False
44,lovecraft_shadow,1870-1904,0.6157512482977757,0.3381294964028777,0.625401797699963,0.6260016353229763,0.0371471088353742,False
41,lovecraft_shadow,1905-1939,0.6157512482977757,0.5992217898832685,0.6055639006288482,0.6094199606239588,0.03940951054299228,False
43,lovecraft_shadow,1940-1974,0.6157512482977757,0.825531914893617,0.5864393204389474,0.5901140684410646,0.03600870076694745,False
45,lovecraft_ward,1800-1834,0.5878229796591534,0.2926829268292683,0.6134512798899276,0.6277114982578398,0.05150333151144476,False
47,lovecraft_ward,1835-1869,0.5878229796591534,0.3058823529411765,0.6003627045941917,0.6173058835824015,0.06790678523175313,False
49,lovecraft_ward,1870-1904,0.5878229796591534,0.10071942446043165,0.625401797699963,0.6260016353229763,0.0371471088353742,True
46,lovecraft_ward,1905-1939,0.5878229796591534,0.2723735408560311,0.6055639006288482,0.6094199606239588,0.03940951054299228,False
48,lovecraft_ward,1940-1974,0.5878229796591534,0.46808510638297873,0.5864393204389474,0.5901140684410646,0.03600870076694745,False
50,lovecraft_whisperer,1800-1834,0.628099173553719,0.5,0.6134512798899276,0.6277114982578398,0.05150333151144476,False
52,lovecraft_whisperer,1835-1869,0.628099173553719,0.6,0.6003627045941917,0.6173058835824015,0.06790678523175313,False
54,lovecraft_whisperer,1870-1904,0.628099173553719,0.5179856115107914,0.625401797699963,0.6260016353229763,0.0371471088353742,False
51,lovecraft_whisperer,1905-1939,0.628099173553719,0.7354085603112841,0.6055639006288482,0.6094199606239588,0.03940951054299228,False
53,lovecraft_whisperer,1940-1974,0.628099173553719,0.9106382978723404,0.5864393204389474,0.5901140684410646,0.03600870076694745,True
