position,big_genres,dates,authors,genres,lavin_genres,ids,titles,correct,predicted,probability_gothic,target_binary,predicted_binary,predicted_binary_false
615,crime,1937,Allingham%2C+Margery%2C,chirandom | teamred | chimyst | cozy,no_lavin_tag,616,Dancers+in+mourning,1,not gothic,0.237802294,1,1,0
316,non_genre,1894,Theuriet%2C+Andr%2C,teamblack | random,no_lavin_tag,317,The+Abb+Daniel,1,not gothic,0.23873735,1,1,0
976,scifi,1989,Weinstein%2C+Howard%2C,chirandom | teamblack | chiscifi | stew,no_lavin_tag,977,Power+hungry,1,not gothic,0.239222867,1,1,0
870,crime,1976,Platt%2C+Kin%2C,teamblack | chimyst,no_lavin_tag,871,The+body+beautiful+murder,1,not gothic,0.240487768,1,1,0
902,non_genre,1979,Gordon%2C+Noah%2C,chirandom | teamred,no_lavin_tag,903,The+Jerusalem+diamond,1,not gothic,0.244316187,1,1,0
734,scifi,1953,Brown%2C+Fredric%2C,chirandom | teamred | chiscifi | stew,no_lavin_tag,735,The+lights+in+the+sky+are,1,not gothic,0.245979883,1,1,0
675,gothic,1946,Peake%2C+Mervyn%2C,teamblack | pbgothic | stew,no_lavin_tag,676,Titus+Groan,0,not gothic,0.246074503,0,1,0
942,crime,1985,MacLeod%2C+Charlotte%2C,teamred | chimyst,no_lavin_tag,943,The+plain+old+man,1,not gothic,0.248468104,1,1,0
766,gothic,1959,Jackson%2C+Shirley%2C,teamblack | pbgothic | stew | lavin_ghost,lavin_ghost,767,The+Haunting+of+Hill+House,0,not gothic,0.248506309,0,1,0
750,scifi,1956,Heinlein%2C+Robert+A.,chirandom | teamred | chiscifi,no_lavin_tag,751,Double+star,1,not gothic,0.248607174,1,1,0
820,gothic,1967,Levin%2C+Ira%2C,teamblack | pbgothic | chihorror | stew | lavin_magic,lavin_magic,821,Rosemary%27s+baby,0,not gothic,0.255526443,0,1,0
905,non_genre,1979,Cline%2C+C.+Terry%2C,chirandom | teamblack,no_lavin_tag,906,Cross+current,1,not gothic,0.257266713,1,1,0
692,crime,1949,Christie%2C+Agatha%2C,chirandom | teamred | chimyst,no_lavin_tag,693,Crooked+house,1,not gothic,0.257933827,1,1,0
345,scifi,1900,Osborne%2C+Duffield%2C,teamred | locscifi | stew,no_lavin_tag,346,The+secret+of+the+crater,1,not gothic,0.260314066,1,1,0
365,gothic,1905,Dunsany%2C+Edward+John+More,teamblack | pbgothic | stew,no_lavin_tag,366,The+gods+of+Pegna,0,not gothic,0.260821453,0,1,0
390,gothic,1910,Wharton%2C+Edith%2C,teamred | pbgothic | lavin_ghost,lavin_ghost,391,Tales+of+men+and+ghosts,0,not gothic,0.264193825,0,1,0
276,gothic,1888,Kipling%2C+Rudyard%2C,teamred | pbgothic | lavin_ghost,lavin_ghost,277,The+phantom+rickshaw,0,not gothic,0.265595566,0,1,0
226,non_genre,1875,Walraven%2C+E.+G.,teamred | random,no_lavin_tag,227,The+two+orphans%2C+or%2C+The+,1,not gothic,0.270720074,1,1,0
289,gothic,1888,AnonymousGhost,teamblack | locghost | stew | lavin_ghost,lavin_ghost,290,Weird+tid-bits,0,not gothic,0.274444908,0,1,0
852,crime,1973,Stout%2C+Rex%2C,teamred | chimyst,no_lavin_tag,853,Please+pass+the+guilt,1,not gothic,0.27577105,1,1,0
369,gothic,1906,Buckingham%2C+Emma+May.,teamred | locghost | stew | lavin_ghost,lavin_ghost,370,Modern+ghost+stories,0,not gothic,0.276324333,0,1,0
600,gothic,1934,Dinesen%2C+Isak%2C,teamblack | pbgothic | stew,no_lavin_tag,601,Seven+Gothic+Tales,0,not gothic,0.279605212,0,1,0
317,non_genre,1894,Scott%2C+Hugh+Stowell%2C,teamblack | random,no_lavin_tag,318,With+edged+tools%3B,1,not gothic,0.282489029,1,1,0
326,gothic,1897,Stoker%2C+Bram%2C,teamblack | pbgothic | stew | lavin_magic,lavin_magic,327,Dracula,0,not gothic,0.282716548,0,1,0
864,crime,1974,Harrison%2C+Harry%2C,teamblack | chimyst,no_lavin_tag,865,Queen+Victoria%27s+revenge,1,not gothic,0.283384251,1,1,0
331,gothic,1898,Le+Braz%2C+Anatole%2C,teamblack | locghost | lavin_ghost,lavin_ghost,332,Dealings+with+the+dead%3B,0,not gothic,0.292496541,0,1,0
346,scifi,1901,Wells%2C+H.+G.,teamblack | anatscifi | locscifi,no_lavin_tag,347,The+first+men+in+the+moon,1,not gothic,0.292735082,1,1,0
767,non_genre,1959,Nin%2C+Anais%2C,chirandom | teamred,no_lavin_tag,768,Children+of+the+albatross,1,not gothic,0.293519482,1,1,0
300,gothic,1891,Bierce%2C+Ambrose%2C,teamblack | pbgothic | stew,no_lavin_tag,301,Tales+of+soldiers+and+civ,0,not gothic,0.296661468,0,1,0
761,crime,1959,Gardner%2C+Erle+Stanley%2C,teamred | det100 | chimyst,no_lavin_tag,762,The+case+of+the+deadly+to,1,not gothic,0.296764632,1,1,0
440,crime,1915,Rockwood%2C+Roy.,teamblack | locdetmyst | juvenile | drop,no_lavin_tag,441,Dave+Dashaway%2C+air+champi,1,not gothic,0.299041927,1,1,0
269,gothic,1887,Anonymous3,teamblack | locghost | lavin_ghost,lavin_ghost,270,Dreamland+and+ghostland,0,not gothic,0.301425361,0,1,0
474,gothic,1920,French%2C+Joseph+Lewis%2C,teamred | locghost | stew | lavin_ghost,lavin_ghost,475,The+best+psychic+stories,0,not gothic,0.304810315,0,1,0
645,crime,1942,Marsh%2C+Ngaio%2C,chirandom | teamblack | chimyst | cozy,no_lavin_tag,646,A+man+lay+dead,1,not gothic,0.305438428,1,1,0
307,gothic,1892,Bierce%2C+Ambrose%2C,teamblack | pbgothic | stew,no_lavin_tag,308,In+the+midst+of+life%3B,0,not gothic,0.307346132,0,1,0
760,non_genre,1959,Kirkland%2C+Elithe+Hamilton,chirandom | teamblack,no_lavin_tag,761,Love+is+a+wild+assault,1,not gothic,0.309058443,1,1,0
333,gothic,1898,James%2C+Henry%2C,teamred | pbgothic | lavin_ghost | lavin_magic,lavin_multi,334,The+Turn+of+the+Screw,0,not gothic,0.309733997,0,1,0
283,gothic,1888,Kipling%2C+Rudyard%2C,teamblack | pbgothic | stew,no_lavin_tag,284,Plain+tales+from+the+hill,0,not gothic,0.310678729,0,1,0
299,scifi,1891,Ward%2C+Herbert+Dickinson%2C,teamblack | locscifi | stew,no_lavin_tag,300,A+republic+without+a+pres,1,not gothic,0.31427389,1,1,0
466,gothic,1919,Cabell%2C+James+Branch%2C,teamred | pbgothic,no_lavin_tag,467,Jurgen,0,not gothic,0.320359281,0,1,0
697,scifi,1949,Zagat%2C+Arthur+Leo%2C,teamblack | chiscifi,no_lavin_tag,698,Seven+out+of+time,1,not gothic,0.321778969,1,1,0
