,docid,group_label,genres,year
135,688,14,chifantasy | teamblack | chihorror | chiscifi,1948
136,690,15,teamred | pbgothic | chiscifi | lavin_ghost | lavin_magic,1948
137,744,15,teamred | pbgothic | chihorror | chiscifi | lavin_magic,1954
138,766,15,teamblack | pbgothic | lavin_slasher,1959
139,767,15,teamblack | pbgothic | stew | lavin_ghost,1959
140,780,15,teamblack | chihorror | chiscifi | lavin_magic,1962
141,821,15,teamblack | pbgothic | chihorror | stew | lavin_magic,1967
142,823,15,teamred | pbgothic | chihorror | lavin_magic,1968
143,824,15,teamred | chihorror | lavin_magic,1968
144,844,15,teamblack | pbgothic | lavin_magic,1971
145,849,15,teamblack | chihorror | chiscifi,1972
146,868,15,teamblack | chihorror | stew | lavin_magic,1976
147,869,14,teamblack | pbgothic | lavin_magic,1976
148,881,15,teamred | chihorror | lavin_slasher,1977
149,893,15,teamred | pbgothic,1978
150,896,15,teamred | chihorror | stew,1978
151,898,15,teamred | chihorror | stew | lavin_magic,1978
152,900,15,teamred | chimyst | chihorror | lavin_magic,1978
153,907,15,teamblack | chihorror | chiscifi | stew | lavin_ghost,1979
154,912,15,teamred | chihorror,1980
155,914,15,chimyst | pbgothic | teamred | lavin_slasher,1981
156,920,15,teamblack | pbgothic | stew | lavin_magic,1981
157,926,15,teamblack | chihorror | stew | lavin_slasher | lavin_deranged,1982
158,938,14,teamred | pbgothic | chiscifi | stew,1984
159,947,14,teamred | chihorror | chiscifi | stew | lavin_magic,1986
160,960,15,teamred | pbgothic | chihorror | lavin_slasher | lavin_deranged,1987
161,964,15,teamblack | pbgothic | lavin_ghost,1987
162,968,15,chifantasy | teamblack | pbgothic | stew | lavin_magic,1988
163,976,15,teamblack | chihorror | stew,1989
164,978,15,teamred | chihorror | chiscifi | stew,1989
165,980,15,chifantasy | teamblack | chimyst | chihorror | lavin_slasher | lavin_magic,1989
